component,claim,required_value,observed_value,units,evidence_state,source_type,source_url,checked_date,decision,follow_up
Gemfan Hurricane 2023-3,Motor pairing,Compatible with EX1103,Manufacturer recommends 1105-1108 motors,,BENCH_REQUIRED,manufacturer documentation,https://www.gemfanhobby.com/2023-hurricane-pc-3-blade.html,2026-06-21,OPEN,Vendor propulsion test indicates use but exact delivered combination must be bench-tested
GNB GNB5502S100AHV,Pack identity,"2S 550 mAh LiHV, XT30, about 29 g","7.6 V; 29 g +/-1 g; XT30",,INFERRED,specialist retailer listing,https://www.drone-fpv-racer.com/en/2s-550mah-100c-gnb-lihv-battery-xt30-by-gaoneng-12372.html,2026-06-21,PASS_WITH_CAVEAT,Verify label connector dimensions and mass on receipt
GNB GNB5502S100AHV,Continuous current,At most 44 A for unconditional pass,55 A derived from claimed 100C,A,BENCH_REQUIRED,retailer claim and calculation,https://www.drone-fpv-racer.com/en/2s-550mah-100c-gnb-lihv-battery-xt30-by-gaoneng-12372.html,2026-06-21,OPEN,Measure sag and temperature; C-rating is not accepted as proof
BetaFPV ELRS Lite Flat V1.2,Power and mass,5 V receiver under 1 g,"5 V; 0.46 g",,CONFIRMED,manufacturer documentation,https://betafpv.com/collections/radio-controllers/products/elrs-lite-receiver,2026-06-21,PASS,Measure current and link quality with guards installed
Arduino Nicla Vision ABX00051,Power and serial interface,Compatible with Kakute 5 V and 3.3 V UART,"VIN 3.5-5.5 V; programmable VDDIO_EXT up to 3.3 V; one UART",,CONFIRMED,manufacturer datasheet,https://docs.arduino.cc/resources/datasheets/ABX00051-datasheet.pdf,2026-06-21,PASS,Set VDDIO_EXT to 3.3 V and share ground
Arduino Nicla Vision ABX00051,Image-capture current,Fit conservative 1.5 A peripheral budget,105 mA average image capture,mA,CONFIRMED,manufacturer datasheet,https://docs.arduino.cc/resources/datasheets/ABX00051-datasheet.pdf,2026-06-21,PASS_WITH_CAVEAT,Measure peak inference current with Wi-Fi/BLE disabled
Arduino Nicla Vision ABX00051,Event latency,At most 100 ms Stage 1 and 50 ms future recovery,No application benchmark available,ms,BENCH_REQUIRED,application-specific measurement,,2026-06-21,OPEN,Measure p95 sensor-event to MAVLink latency and effective FPS
Arduino Nicla Vision ABX00051,Onboard microSD,Required only for standalone continuous image storage,No microSD socket,,BLOCKER,manufacturer datasheet,https://docs.arduino.cc/resources/datasheets/ABX00051-datasheet.pdf,2026-06-21,RESOLVED,Remove card from Stage 1; log numeric events to FC over MAVLink
Matek 3901-L0X,Combined flow and rangefinder interface,One serial resource,"MSP v2 over one UART; FLOW_TYPE=7 and RNGFND_TYPE=32",,CONFIRMED,manufacturer documentation,https://www.mateksys.com/?portfolio=3901-l0x,2026-06-21,PASS,Configure SERIAL4_PROTOCOL=32 and 115200 baud
Matek 3901-L0X,Power and mass,Fit 5 V budget and mass envelope,"4.5-5.5 V; 40 mA; 2 g",,CONFIRMED,manufacturer documentation,https://www.mateksys.com/?portfolio=3901-l0x,2026-06-21,PASS,Observe initialization height above 2 cm
Matek 3901-L0X,Availability,Credible purchasable source,Manufacturer marks product EOL,,INFERRED,manufacturer documentation,https://www.mateksys.com/?portfolio=3901-l0x,2026-06-21,VERIFY_STOCK,Confirm stock before ordering; substitute only if unavailable
VIFLY Finder Mini fmini01,Mass and function,Self-powered finder under 3 g,"2.7 g; 40 mAh cell; up to 7 hours",,CONFIRMED,manufacturer store,https://viflydrone.com/collections/all/products/vifly-finder-mini-fpv-racing-drone-buzzer,2026-06-21,PASS,Verify buzzer control polarity and charging current
